"date","ET0","RAD","TMX","TMA","TMN","HMX","HMN","PRE","WIN"
2003-10-11,1.82,14.83,11.18,4.88,0.03,80.61,35.92,2.31,1.07
2003-10-18,1.61,12.48,8.52,3.11,-1.41,85.26,43.16,3.76,0.91
2003-10-25,1.69,15.84,10.57,4.49,-0.01,87.25,42.62,1.41,1.32
2003-11-01,1.62,14.15,8.84,2.24,-2.13,80.34,33.69,2.19,0.97
2003-11-08,1.33,12.53,2.54,-3.04,-7.42,83.31,41.04,2.89,0.69
2003-11-15,1.49,11.65,6.82,1.86,-2.19,91.61,54.94,3.96,0.74
2003-11-22,1.75,15.85,11.67,4.71,-0.33,80.04,30.96,3.53,0.67
2003-11-29,1.69,13.68,10.72,3.83,-1.23,90.7,38.12,1.86,0.78
2003-12-06,1.67,12.24,13.6,8.93,5.65,86.4,52.7,1.12,0.62
2003-12-13,1.54,11.42,9.12,5.11,2.31,99.73,66.13,4.09,0.63
2003-12-20,1.74,14.61,13.9,6.39,1.7,74.02,24.82,0.47,1.03
2003-12-27,1.63,12.9,10.94,5.95,1.95,91.33,39.07,3.4,1.42
2004-01-03,1.55,13.02,8.04,2.75,-0.99,84.53,43.15,2.82,1.02
2004-01-10,1.58,12.34,8.67,4.32,0.36,81.91,48.96,4.22,0.66
2004-01-17,1.55,9.74,8.75,7,4.59,106.55,82.04,4.21,0.57
2004-01-24,1.59,13.81,9.04,3.75,-0.73,90.26,45.65,0.89,1.13
2004-01-31,1.63,13.25,11.2,5.15,0.69,97.67,40.72,2.55,1.09
2004-02-07,1.6,12.52,8.26,3.68,-0.98,83.31,39.58,2.04,1.36
2004-02-14,1.5,14.11,6.24,0.55,-4.11,91.85,38.8,1.5,0.82
2004-02-21,1.77,14.12,13.68,7.29,2.39,64.22,27.92,0.73,1.15
2004-02-28,1.83,15.67,14.43,8.15,3.16,72.84,26.38,1.29,1.38
2004-03-06,1.71,15.29,12.52,6.66,2.36,78.52,38.33,1.56,1.07
2004-03-13,1.38,6.9,5.1,1.73,-1.79,98.9,69.37,4.6,0.69
2004-03-20,1.37,13.14,4.59,-0.85,-5.89,82.27,49.41,2.65,1.01
2004-03-27,1.43,11.33,6.88,1.62,-2.37,88.43,46.28,2.69,0.94
2004-04-03,1.7,14.06,11.06,5.62,1.95,88.56,54.51,3.36,0.84
2004-04-10,1.69,11.75,11.71,6.5,3.43,92.29,50.9,3.84,0.73
2004-04-17,1.52,16,7.94,2.28,-2.28,86.71,44.52,1.47,0.82
2004-04-24,1.56,8.64,9.8,4.96,1.58,93.15,51.78,2.19,0.64
2004-05-01,1.36,12.03,7.06,1.86,-2.12,88.87,44.93,2.49,0.78
2004-05-08,1.26,9.26,7.66,3.8,1.26,91.43,66.84,3.34,0.84
2004-05-15,1.87,16.58,11.36,5.61,0.61,76.64,35.43,-0.18,0.9
2004-05-22,1.08,6.44,6.76,3.08,0.84,87.77,63.34,3.33,0.67
2004-05-29,1.01,10.95,4.76,0.15,-2.64,85.4,50.52,2.84,0.84
2004-06-05,2.11,21.14,12.16,6.12,0.29,66.18,28.27,-0.73,0.98
2004-06-12,1.67,18.26,9.05,2.46,-2.57,83.26,34.23,2.17,1.01
2004-06-19,1.3,12.4,7.67,2.45,-1.19,86.85,47.62,3.56,0.78
2004-06-26,2.1,19.5,11.59,5.67,0.17,71.23,27.38,0.09,1.05
2004-07-03,1.82,12.21,10.55,4.86,0.26,73.43,33.78,2.78,1.03
2004-07-10,1.04,8.07,5.22,1.53,-2.36,85.71,54.66,3,0.83
2004-07-17,1.7,15.58,10.35,4.85,0.78,83.57,37.67,1.97,0.93
2004-07-24,1.4,9.41,8.29,3.33,-0.38,84.26,53.05,3.45,0.92
2004-07-31,1.04,11.46,4.93,0.78,-3.15,80.38,44.11,3.37,1.06
2004-08-07,1.53,7.81,9.33,4.7,0.77,85.3,54.66,2.63,0.73
2004-08-14,1.65,15.12,10.16,4.83,0.9,78.44,36.82,1.44,0.8
2004-08-21,2.07,17.87,12.56,6.34,1.38,77.89,26.69,-0.95,0.88
2004-08-28,1.58,10.22,10.13,4.77,1.41,86.95,52.18,3.36,0.73
2004-09-04,1.56,15.18,9.54,5.19,1.12,83.22,44.48,1.39,1.15
2004-09-11,1.42,11.72,7.85,3.37,-0.6,81.99,47.57,2.14,1.03
2004-09-18,1.38,11.38,7.85,3.74,-0.04,83.88,50.82,2.53,1.11
2004-09-25,2.03,18.21,13.66,7.25,2.51,78.53,31.7,0.72,0.91
2004-10-02,1.49,11.19,8.93,4.61,0.98,84.82,51.85,3.62,0.87
2004-10-09,1.67,14.71,10.33,5.25,1.08,80.73,40.58,2.09,0.96
2004-10-16,1.73,14.8,9.72,3.87,-1.36,69.75,30.42,0.52,1.24
2004-10-23,1.85,16.62,13.14,7.15,2.85,78.12,31.3,-0.61,0.94
2004-10-30,1.47,9.57,9.13,5.71,2.49,87.11,60.9,3.5,0.8
2004-11-06,1.4,10.39,6,2.04,-1.44,87.34,55.12,3.86,0.93
2004-11-13,1.6,11.64,11.42,6.97,3.72,92.81,60.04,3.57,0.94
2004-11-20,1.53,9.78,10.92,7.34,4.55,93.49,64.65,4.12,0.81
2004-11-27,1.67,13.72,9.73,4.17,-0.8,78.75,28.39,2.31,1.04
2004-12-04,1.56,11.82,7.82,3.61,-0.39,66.85,31.12,1.98,1.2
2004-12-11,1.63,15.27,9.37,3.12,-1.61,63.4,17.7,1.81,1.56
2004-12-18,1.57,12.54,9.21,4.95,1.27,79.02,42.56,3.85,0.77
2004-12-25,1.61,13.59,11.57,6.72,3.38,83.16,45.53,2.42,0.8
2005-01-01,1.66,13.62,13.69,8.69,5.66,54.47,24.64,1,0.73
2005-01-08,1.54,13.74,6.91,2.21,-1.67,76.39,31.3,2.08,1.02
2005-01-15,1.58,11.78,8.6,4.51,0.27,93.77,57.11,4.35,0.84
2005-01-22,1.6,13.64,8.4,3.1,-1.21,75.05,28.04,2.13,0.72
2005-01-29,1.75,13.7,14.21,8.41,3.56,62.98,29.65,0.89,1.16
